ticket_id,ticket_description,category,priority,status
T010,The system says my password is incorrect,Login Issue,High,In Progress
T185,The application is extremely slow today,Performance,Medium,In Progress
T121,Please provide the customer report,Report,Medium,In Progress
T208,The system is responding slowly,Performance,Medium,Closed
T149,I need to change my registered mobile number,Account Update,Medium,Open
T215,Pages are loading slowly,Performance,Medium,In Progress
T183,The application response is very slow,Performance,High,Closed
T087,I cannot save my information because of an error,Application Error,Medium,Closed
T179,Please change my account email,Account Update,Medium,In Progress
T176,Please update my account information,Account Update,Medium,Closed
T069,I cannot save my information because of an error,Application Error,Low,Closed
T016,Please help me recover my login,Login Issue,Medium,Open
T201,The application is extremely slow today,Performance,Low,In Progress
T026,My account login is not working,Login Issue,Low,Closed
T031,I cannot access my account,Login Issue,Medium,Closed
T046,I am getting an error message,Application Error,High,Open
T061,The system displays an unexpected error,Application Error,Medium,Open
T177,Please update my email address,Account Update,High,In Progress
T102,Generate the financial report,Report,High,Closed
T166,I need to change my registered address,Account Update,Low,Closed
T080,An error appears whenever I try to update data,Application Error,Low,In Progress
T019,Login page is rejecting my password,Login Issue,High,Closed
T168,Please update my account information,Account Update,Medium,In Progress
T153,Please update my phone number,Account Update,Low,Open
T097,How can I download the sales report,Report,Low,In Progress
T083,The application is showing an internal error,Application Error,Medium,Open
T194,Pages are loading slowly,Performance,Low,Open
T173,I need to change my registered mobile number,Account Update,High,Closed
T221,The dashboard takes several minutes to open,Performance,Medium,Open
T105,Please provide the customer report,Report,Low,Open
T119,I need the weekly performance report,Report,Low,In Progress
T076,The application stopped working,Application Error,High,Open
T017,The system says my password is incorrect,Login Issue,High,Open
T199,The website is very slow,Performance,Medium,In Progress
T202,Pages are loading slowly,Performance,Low,Closed
T118,I need the weekly performance report,Report,Medium,Open
T196,The dashboard takes several minutes to open,Performance,High,Open
T115,I need a report of all completed orders,Report,Low,Closed
T112,I need a report of all completed orders,Report,Low,Closed
T145,I want to change my account details,Account Update,High,Open
T142,I want to update my personal details,Account Update,High,Closed
T214,The system takes too long to load,Performance,High,In Progress
T144,Please update my email address,Account Update,Low,Closed
T223,Application performance is very bad today,Performance,High,Open
T143,Please change my account email,Account Update,High,Open
T164,Please change my account email,Account Update,High,Closed
T068,There is an error when opening the application,Application Error,High,Closed
T056,An error appears whenever I try to update data,Application Error,Low,Closed
T125,Please send me the transaction report,Report,Medium,Open
T128,I want to download the monthly report,Report,High,Closed
T210,The dashboard takes several minutes to open,Performance,Medium,In Progress
T085,Application crashes when I upload a file,Application Error,Low,Closed
T094,How can I download the sales report,Report,Low,In Progress
T098,I want to download the monthly report,Report,Medium,Open
T116,Please generate the annual sales report,Report,Medium,Closed
T039,I forgot my password,Login Issue,Medium,Open
T025,My account login is not working,Login Issue,Low,In Progress
T120,Generate the financial report,Report,Low,Closed
T184,The system performance has become very poor,Performance,Medium,Closed
T195,The application is extremely slow today,Performance,Low,Open
T011,I cannot login to my account,Login Issue,Low,Closed
